comments	hate
그새끼 칼침 놔줘라 	1
저렇게 말하면 와 그렇구나 하면서 진짜 그런줄 암. 개돼지 다수는...	1
유진 바다가 변제 해주고 우리 다시 시작하자하면 그림이 좋은데	0
다른 애들이 더 나은데 왜이렇게 띄워주는지..	0
No no japan!!! 필요없다	1
또 시작이가 ㅋㅋㅋㅋㅋㅋㅋㅋ	0
기자야 너도 인간이니?	1
마약구매는 옳지 못한 행동이고 본인도 알고 있을거에요 그냥 얼마나 힘들었으면.. 이생각이 많이 드는데 복용은 안했다니 다행이고 앞으로 힘든 시기 잘 버티시길	0
그레이프혁권 사...사...좋아합니다 ㅋㅋㅋㅋㅋ	0
얘 진짜 선 넘으면서 개오버 하더라니 결국엔 사고 쳤네. 성규가 아니라 성구더라. 아나운서계의 철구 ㅉㅉ.	1
구혜선씨 응원합니다!! 나쁜 소속사 나쁜ㅅㄲ 악플다는 댓글알바들 절대 봐주지 말고 무너지지마세요 나쁜것들은 천벌받을거에요	0
스티브잡스같은 혁신가가 왜 팀쿡같은 고리타분한 관리자형 인간을 CEO로 맡겨는지 이해가 간다	0
아 반데라스랑 로베르토 너무 좋아 ㅋㅋㅋ	0
베리베리굿굿굿아주아주 멋지고 재미있다	0
흠.... 너무 격변의 시기여서 그런가... 노래는 기억이 잘....	0
역시 배우신 분이라 다름.	0
10년차정도만되도 500~600은 벌지.	0
정신병자	1
설아♡진우 재결합해두세요 태랑이랑은 안어울림 ㅋㅋ	0
이명박 외교 부분은 박근혜보다 더 잘했다	0
밑져봐야 본전이니까 ㅋ	0
기안이다좋아. 헌데, 연말시상식은 참아줘. ㅜㅜ	0
폐지가 답이지 요즘 환경쪽으로 얼마나 예민한데 그전에 사용했던 장소도 개판이란 소리네 그럼	1
ㅎ 아들이 뭔죄야 뭔상관이야 아들한테 어떤 의도도 합의도 없이 이뤄진일을 왜 같이 책임지라고 해	0
알함브라 궁전의 추억이래잖아 지들이 드라마제목 재대로 해석안해놓고 남탓오지네 이게 한국의 현실체 작가진들이나 시청자들이나 국민들이나 한국이나 다 불쌍해 경쟁사회가 낳은 증오 배신 실망 경계	0
강진주(윤해영)와 서지환(이재황) 주연배우 및 화려한 조연배우들의 캐스팅과 뛰어난 연기력 그리고, 흥미진진한 스토리전개로 100%로 몰입하여며 재미있게 시청하고 있습니다. 힘든과정에서 열심히 촬영하는 제작진과 배우들 더욱더 힘내서 화이팅 하세요!	0
